device_id,gender,age,group
-8076087639492060000,M,35,M32-38
-2897161552818060000,M,35,M32-38
-8260683887967670000,M,35,M32-38
-4938849341048080000,M,30,M29-31
245133531816851000,M,30,M29-31
-1297074871525170000,F,24,F24-26
236877999787307000,M,36,M32-38
-8098239495777310000,M,38,M32-38
176515041953473000,M,33,M32-38
1596610250680140000,F,36,F33-42
9032155484127180000,M,31,M29-31
7477216237379270000,F,37,F33-42
2478205222798310000,F,28,F27-28
6352067998666460000,M,32,M32-38
-7605360767281960000,M,48,M39+
1508636020748370000,F,28,F27-28
4380872794486410000,M,38,M32-38
-1039701474753770000,M,38,M32-38
-6876541075223240000,M,75,M39+
6287938418661070000,M,33,M32-38
-6029676723224950000,F,39,F33-42
8026504930081700000,M,25,M23-26
1118970699362070000,M,24,M23-26
-7271319853104670000,M,27,M27-28
-9216966316587610000,M,29,M29-31
-4913644674161900000,M,34,M32-38
2313145512701910000,M,34,M32-38
4309468945717570000,F,36,F33-42
-4547337748907980000,M,37,M32-38
-7216269352973400000,M,37,M32-38
-7303294878482530000,M,33,M32-38
7630241409816670000,M,35,M32-38
7106922851105960000,M,22,M22-
-5825546292084390000,M,31,M29-31
5886404762741540000,M,37,M32-38
3444770318780910000,M,36,M32-38
3549658489155680000,M,26,M23-26
-7360652256644370000,M,38,M32-38
-3207654344601940000,M,38,M32-38
-1279883160764310000,M,31,M29-31
3014072209520800000,M,28,M27-28
-2871140782885200000,M,22,M22-
-5070177130701210000,M,31,M29-31
-1539979963116390000,M,31,M29-31
-5349338524207280000,M,27,M27-28
-147287084274333000,M,27,M27-28
-5712152567169520000,M,27,M27-28
-3305321723886860000,M,27,M27-28
-800851341622326000,F,27,F27-28
6870382681059860000,M,29,M29-31
-1173303210238770000,F,34,F33-42
6677393742805480000,M,31,M29-31
1865480732945070000,M,31,M29-31
336916678843446000,F,36,F33-42
670584488453511000,F,36,F33-42
5874501925603970000,M,38,M32-38
-7058264257379180000,M,38,M32-38
-7731743086143070000,M,35,M32-38
-1457089681368220000,M,47,M39+
3098621662950430000,M,31,M29-31
-3563791052716940000,M,25,M23-26
-5348866880284850000,M,25,M23-26
-4180524547237520000,M,36,M32-38
-8428853393823280000,M,28,M27-28
-6290480893520010000,M,44,M39+
6223951438363240000,M,28,M27-28
-4370696809239940000,M,36,M32-38
-6083834394280540000,F,27,F27-28
-1246353335731120000,M,32,M32-38
-6552729385743210,M,28,M27-28
5938577683122520000,M,48,M39+
-3235628390898750000,M,44,M39+
-4144208717804680000,M,44,M39+
8844957623159520000,M,28,M27-28
4156261305872400000,M,21,M22-
-6785797459639810000,M,28,M27-28
-8080952034040060000,F,44,F43+
6354951364862880000,F,44,F43+
-7789505157081730000,M,25,M23-26
8240579676061660000,M,42,M39+
5439866249778800000,M,35,M32-38
-8140024683963050000,M,38,M32-38
-360168846769617000,M,38,M32-38
4049342567374060000,M,29,M29-31
5660846220747790000,F,64,F43+
2346793034696700000,M,28,M27-28
-4924030293291430000,M,42,M39+
1676196645503730000,M,42,M39+
4922799967163610000,M,24,M23-26
-6571452454273900000,M,46,M39+
-2056729718209150000,M,32,M32-38
404958689637790000,M,44,M39+
6895504244645400000,M,44,M39+
-7882183570062080000,M,24,M23-26
5446913796434340000,F,46,F43+
-3859751359584470000,M,30,M29-31
5662094349477790000,F,21,F23-
-4650666927489440000,F,21,F23-
3804056002627410000,M,29,M29-31
-8266281880829900000,M,29,M29-31
5973319239886060000,F,28,F27-28
202462323314332000,F,28,F27-28
7326636766251170000,M,27,M27-28
-4144445179725470000,M,21,M22-
8907764229603530000,F,23,F23-
-5261054643656080000,F,23,F23-
3819716873588640000,F,23,F23-
4650021665055860000,M,20,M22-
-5441393164079050000,F,34,F33-42
-8582139297114160000,F,25,F24-26
7761134629352960000,M,21,M22-
6927671656924390000,M,26,M23-26
5984369821078450000,M,26,M23-26
2959524852145770000,M,30,M29-31
-2114716321141090000,M,30,M29-31
699478504411407000,M,27,M27-28
-1872001393673630000,F,26,F24-26
-4872982505937590000,M,39,M39+
-4430857349056460000,F,20,F23-
-5340398384027830000,F,20,F23-
1704840088089510000,M,24,M23-26
-4246359349357760000,F,28,F27-28
-8165550889984890000,F,28,F27-28
4297455138616650000,M,29,M29-31
-1747655920783300000,M,27,M27-28
2275434704754260000,M,24,M23-26
3752341244715050000,M,41,M39+
-754365920636902000,F,25,F24-26
-5638884600299360000,M,28,M27-28
4816687632811880000,F,31,F29-32
593669313143296000,F,31,F29-32
248228453883119000,F,28,F27-28
8561987004157620000,M,30,M29-31
-448645680703615000,M,31,M29-31
-8887145707214340000,F,28,F27-28
-7154614355022590000,F,29,F29-32
-5352494765561870000,F,29,F29-32
6203757811505040000,F,23,F23-
8213642428559590000,F,36,F33-42
-8018890275127060000,M,24,M23-26
7222366654900850000,F,22,F23-
6123790560434640000,M,38,M32-38
8369299031756450000,F,36,F33-42
-7861418408615060000,F,23,F23-
9146497636646050000,M,35,M32-38
-2489556190686420000,M,35,M32-38
-3274254800053980000,M,33,M32-38
-8344622686419290000,M,33,M32-38
-7464543035045990000,M,33,M32-38
-2999736920417270000,F,22,F23-
3190702475320660000,M,29,M29-31
6709821453224440000,M,38,M32-38
6021983857045700000,F,27,F27-28
-6494821234293360000,M,37,M32-38
8749724299667570000,M,34,M32-38
-3113143023563670000,M,37,M32-38
-5028220390242250000,F,27,F27-28
-3794473641159390000,F,34,F33-42
3141753394038530000,M,41,M39+
-4917609465027920000,M,21,M22-
-1516688507910540000,F,43,F43+
4142956234059870000,F,33,F33-42
-4917418725007270000,F,30,F29-32
-7516440352534360000,M,31,M29-31
6439649945388460000,M,28,M27-28
-7348867500610950000,M,31,M29-31
-8163914028422840000,M,31,M29-31
1603640831768210000,M,28,M27-28
-8003284722005500000,M,28,M27-28
-5203038592600080000,M,32,M32-38
-4810626615146220000,M,32,M32-38
8862410784192960000,F,36,F33-42
2939637043564780000,F,46,F43+
8753601250612920000,F,51,F43+
-5116656739499150000,F,51,F43+
-7646353414568590000,M,30,M29-31
-5189881483734030000,M,46,M39+
-4996365611575220000,M,46,M39+
-6711641544479660000,M,34,M32-38
6206722327442370000,F,31,F29-32
3493988831547440000,M,32,M32-38
4366005122372200000,M,24,M23-26
1386963267590570000,M,24,M23-26
-6330378243113790000,M,34,M32-38
-7865367115690880000,M,38,M32-38
-1858006844990040000,M,31,M29-31
-3228486232941560000,F,28,F27-28
-5602557068543220000,F,28,F27-28
-1451022929123780000,F,28,F27-28
7790659424525070000,F,28,F27-28
8920285886738670000,M,28,M27-28
-4852607865204240000,M,31,M29-31
-2426517319208530000,M,31,M29-31
-8249736197215460000,M,41,M39+
2270921318416250000,M,25,M23-26
-1319995297521480000,M,31,M29-31
9138019064415700000,F,36,F33-42
-7319671561866650000,F,36,F33-42
2978253634008550000,M,38,M32-38
8061585136093540000,M,38,M32-38
-8545729738118500000,M,26,M23-26
1474139374992160000,M,22,M22-
1601488851299080000,M,33,M32-38
8655869457573840000,M,33,M32-38
3611992091268250000,F,31,F29-32
4192900550916500000,M,27,M27-28
7085696727020390000,M,29,M29-31
-7040791784866620000,M,39,M39+
4329078646062350000,M,35,M32-38
3456872842738030000,M,34,M32-38
-2966512100134310000,F,30,F29-32
2040535522516260000,F,23,F23-
-3310045835362130000,F,32,F29-32
-4699662670867130000,F,46,F43+
-7548291590301750000,M,33,M32-38
-7963397998932390000,M,49,M39+
-7082232536999170000,M,36,M32-38
-6242893361006200000,F,32,F29-32
