Unnamed: 0,device_id,gender,age,group,phone_brand,device_model,event_id,timestamp,city,state,longitude,latitude
0,-1.0397014747537713e+18,M,38,M32-38,Xiaomi,MI 4,9510.0,2016-05-06 10:47:07,Visakhapatnam,AndhraPradesh,83.364566,17.788503000000006
76,-5.825546292084395e+18,M,31,M29-31,OPPO,R2017,6037.0,2016-05-07 06:56:49,Visakhapatnam,AndhraPradesh,83.32041699999998,17.782805
354,-3.2076543446019466e+18,M,38,M32-38,Lenovo,795+,102297.0,2016-05-04 19:12:12,Mangalagiri,AndhraPradesh,80.64187,16.536530000000006
374,-1.4570896813682258e+18,M,47,M39+,vivo,Xperia SL,2276937.0,2016-05-07 23:15:59,Ramachandrapuram,AndhraPradesh,78.06368499999998,17.570863
377,-6.290480893520011e+18,M,44,M39+,Xiaomi,MI 4,24002.0,2016-05-06 20:22:45,Tandur,AndhraPradesh,77.61909,17.321178
389,-6552729385743211.0,M,28,M27-28,vivo,X3T,189757.0,2016-05-07 21:40:38,Rajendranagar,AndhraPradesh,78.487472,17.338946999999994
434,-6.785797459639811e+18,M,28,M27-28,Xiaomi,MI 2,6298.0,2016-05-02 08:45:36,Visakhapatnam,AndhraPradesh,83.386313,17.795064
458,-4.92403029329144e+18,M,42,M39+,Huawei,G520-5000,9240.0,2016-05-05 10:15:41,Visakhapatnam,AndhraPradesh,83.31971800000002,17.772688
616,4.049586896377907e+17,M,44,M39+,HTC,802w,157685.0,2016-05-03 19:39:07,Palasa,AndhraPradesh,84.441275,18.859906
666,-8.266281880829904e+18,M,29,M29-31,Xiaomi,MI 2S,9701.0,2016-05-06 10:01:47,Visakhapatnam,AndhraPradesh,83.35266399999998,17.785535999999997
812,5.98436982107845e+18,M,26,M23-26,Samsung,Galaxy S4,335887.0,2016-05-06 01:34:52,Tandur,AndhraPradesh,77.615133,17.338398
840,-4.48645680703616e+17,M,31,M29-31,OPPO,1107,163965.0,2016-05-07 04:11:15,Srikakulam,AndhraPradesh,83.977613,18.343124
860,-5.352494765561872e+18,F,29,F29-32,vivo,X3T,40460.0,2016-05-05 10:11:56,Rajendranagar,AndhraPradesh,78.454679,17.351582
875,-3.274254800053989e+18,M,33,M32-38,vivo,Xperia Z2,126316.0,2016-05-07 08:16:10,Alwal,AndhraPradesh,78.592212,17.512743
894,-3.228486232941564e+18,F,28,F27-28,Kangjia,V987,7793.0,2016-05-06 08:57:09,Visakhapatnam,AndhraPradesh,83.365134,17.750198
984,-8.5457297381185e+18,M,26,M23-26,vivo,S7I,33615.0,2016-05-02 06:55:45,Samalkot,AndhraPradesh,82.215641,17.139172
1055,-4.699662670867137e+18,F,46,F43+,Xiaomi,MI 2,6975.0,2016-05-02 09:40:24,Visakhapatnam,AndhraPradesh,83.34495600000002,17.829728
1145,5.421267314514964e+18,M,28,M27-28,OPPO,R809T,92755.0,2016-05-06 07:37:23,Chilakalurupet,AndhraPradesh,80.203282,16.174519
1165,5.69261009152837e+18,M,48,M39+,Samsung,Galaxy Note 2,43952.0,2016-05-04 12:22:35,Hindupur,AndhraPradesh,77.535767,13.905144
1208,6.488610263167173e+18,M,46,M39+,OPPO,R7s,28030.0,2016-05-02 23:27:05,Hyderabad,AndhraPradesh,78.537729,17.450703999999998
1247,-6.492462980844784e+18,M,24,M23-26,vivo,Y51,7685.0,2016-05-05 09:49:23,Visakhapatnam,AndhraPradesh,83.389505,17.800912
1450,8.543316339499767e+18,F,33,F33-42,Samsung,Galaxy Mega 6.3,76900.0,2016-05-04 08:59:37,Eluru,AndhraPradesh,81.165937,16.818116999999994
1501,-3.187088514942036e+17,F,38,F33-42,Xiaomi,红米note,1479199.0,2016-05-03 14:52:34,Palasa,AndhraPradesh,84.44855600000002,18.866293
1502,1.4690060173069555e+18,M,24,M23-26,Coolpad,5950,10073.0,2016-05-01 11:15:02,Visakhapatnam,AndhraPradesh,83.390413,17.748594
1827,1.888521065893978e+18,F,28,F27-28,vivo,X3T,27608.0,2016-05-01 23:07:44,Koratla,AndhraPradesh,78.741019,18.85241
1833,3.679272092861009e+18,M,29,M29-31,OPPO,N1T,8760.0,2016-05-03 10:48:40,Visakhapatnam,AndhraPradesh,83.34523399999998,17.828012
1860,3.344241795823209e+18,M,24,M23-26,vivo,X3T,333628.0,2016-05-03 10:12:13,Yemmiganur,AndhraPradesh,77.531726,15.821964
1863,-6.032484110824396e+18,M,24,M23-26,Meizu,MX3,394185.0,2016-05-04 19:43:42,Vijayawada,AndhraPradesh,80.695881,16.589648
1869,6.35667576721731e+18,M,24,M23-26,Samsung,Galaxy Note 3,8715.0,2016-05-03 09:57:53,Visakhapatnam,AndhraPradesh,83.36813699999998,17.76568
1943,-3.528523897959652e+18,M,39,M39+,Samsung,Galaxy Note 3,116709.0,2016-05-02 21:21:04,Samalkot,AndhraPradesh,82.276143,17.075471999999998
1966,-5.514406392341152e+18,F,27,F27-28,Huawei,荣耀3X,369953.0,2016-05-04 08:24:26,Tanuku,AndhraPradesh,81.70212,16.810470000000002
1975,-8.55695703316598e+18,M,33,M32-38,Xiaomi,MI 2A,9944.0,2016-05-07 10:45:47,Visakhapatnam,AndhraPradesh,83.388475,17.740606
2050,-6.877287750680912e+18,M,27,M27-28,Meizu,MX3,556012.0,2016-05-02 17:46:03,Bapatla,AndhraPradesh,80.508859,15.942866
2053,8.13997959574474e+18,M,31,M29-31,Xiaomi,红米2,57877.0,2016-05-06 20:48:17,Suriapet,AndhraPradesh,79.648089,17.244819999999994
